
0it [00:00, ?it/s]
825it [09:18,  2.34it/s, bound:0 nc: 15 ncall:2.8e+03 eff:29.9% logz-ratio=30.89+/-0.15 dlogz:133.421>0.1]
826it [09:20,  1.42it/s, bound:0 nc: 12 ncall:2.8e+03 eff:29.9% logz-ratio=31.04+/-0.15 dlogz:133.257>0.1]
827it [09:21,  1.09it/s, bound:0 nc: 14 ncall:2.8e+03 eff:29.7% logz-ratio=31.17+/-0.15 dlogz:133.105>0.1]
828it [09:23,  1.05s/it, bound:0 nc: 11 ncall:2.8e+03 eff:29.7% logz-ratio=31.29+/-0.14 dlogz:132.968>0.1]
831it [09:24,  1.14it/s, bound:0 nc:  3 ncall:2.8e+03 eff:29.6% logz-ratio=31.80+/-0.14 dlogz:132.491>0.1]
833it [09:25,  1.21it/s, bound:0 nc:  7 ncall:2.8e+03 eff:29.5% logz-ratio=32.12+/-0.14 dlogz:132.184>0.1]
837it [09:27,  1.47it/s, bound:0 nc:  9 ncall:2.8e+03 eff:29.4% logz-ratio=32.77+/-0.14 dlogz:131.482>0.1]
840it [09:28,  1.63it/s, bound:0 nc:  6 ncall:2.9e+03 eff:29.4% logz-ratio=33.21+/-0.14 dlogz:131.045>0.1]
844it [09:29,  1.87it/s, bound:0 nc: 10 ncall:2.9e+03 eff:29.4% logz-ratio=34.05+/-0.15 dlogz:130.331>0.1]
847it [09:31,  1.96it/s, bound:0 nc:  7 ncall:2.9e+03 eff:29.3% logz-ratio=34.74+/-0.15 dlogz:129.563>0.1]
850it [09:32,  2.03it/s, bound:0 nc:  7 ncall:2.9e+03 eff:29.3% logz-ratio=35.23+/-0.14 dlogz:129.021>0.1]
853it [09:34,  2.08it/s, bound:0 nc: 10 ncall:2.9e+03 eff:29.2% logz-ratio=35.67+/-0.14 dlogz:128.554>0.1]
855it [09:35,  1.85it/s, bound:0 nc:  9 ncall:2.9e+03 eff:29.1% logz-ratio=36.09+/-0.14 dlogz:128.240>0.1]
859it [09:36,  2.04it/s, bound:0 nc:  9 ncall:3.0e+03 eff:29.1% logz-ratio=37.18+/-0.15 dlogz:127.211>0.1]
863it [09:38,  2.22it/s, bound:0 nc: 13 ncall:3.0e+03 eff:29.0% logz-ratio=38.14+/-0.15 dlogz:126.144>0.1]
864it [09:39,  1.37it/s, bound:0 nc: 10 ncall:3.0e+03 eff:28.9% logz-ratio=38.35+/-0.15 dlogz:125.927>0.1]
869it [09:41,  1.66it/s, bound:0 nc:  5 ncall:3.0e+03 eff:29.0% logz-ratio=39.28+/-0.15 dlogz:124.981>0.1]
873it [09:42,  1.89it/s, bound:0 nc:  7 ncall:3.0e+03 eff:28.9% logz-ratio=40.17+/-0.15 dlogz:124.172>0.1]
878it [09:44,  2.18it/s, bound:0 nc: 15 ncall:3.0e+03 eff:28.9% logz-ratio=41.60+/-0.15 dlogz:122.667>0.1]
879it [09:45,  1.35it/s, bound:0 nc:  8 ncall:3.0e+03 eff:28.8% logz-ratio=41.82+/-0.15 dlogz:122.434>0.1]
882it [09:46,  1.51it/s, bound:0 nc:  8 ncall:3.1e+03 eff:28.8% logz-ratio=42.34+/-0.15 dlogz:121.840>0.1]
886it [09:48,  1.76it/s, bound:0 nc: 19 ncall:3.1e+03 eff:28.7% logz-ratio=42.84+/-0.14 dlogz:121.295>0.1]
887it [09:49,  1.21it/s, bound:0 nc:  9 ncall:3.1e+03 eff:28.6% logz-ratio=42.96+/-0.14 dlogz:121.182>0.1]
888it [09:51,  1.02it/s, bound:0 nc: 18 ncall:3.1e+03 eff:28.5% logz-ratio=43.09+/-0.14 dlogz:121.058>0.1]
889it [09:52,  1.09s/it, bound:0 nc: 13 ncall:3.1e+03 eff:28.4% logz-ratio=43.21+/-0.14 dlogz:120.930>0.1]
893it [09:53,  1.15it/s, bound:0 nc: 11 ncall:3.2e+03 eff:28.3% logz-ratio=44.04+/-0.15 dlogz:120.206>0.1]
894it [09:57,  1.84s/it, bound:0 nc: 38 ncall:3.2e+03 eff:28.0% logz-ratio=44.33+/-0.15 dlogz:119.967>0.1]
899it [09:59,  1.37s/it, bound:0 nc:  5 ncall:3.2e+03 eff:28.0% logz-ratio=45.56+/-0.15 dlogz:118.715>0.1]
901it [10:00,  1.17s/it, bound:0 nc: 14 ncall:3.2e+03 eff:27.9% logz-ratio=46.13+/-0.15 dlogz:118.132>0.1]
