
0it [00:00, ?it/s]
668it [07:55,  1.44it/s, bound:0 nc: 11 ncall:1.9e+03 eff:34.6% logz-ratio=149.49+/-0.05 dlogz:2.465>0.1]
669it [07:56,  1.36it/s, bound:0 nc:  2 ncall:1.9e+03 eff:34.6% logz-ratio=149.49+/-0.05 dlogz:2.461>0.1]
672it [07:57,  1.65it/s, bound:0 nc:  2 ncall:1.9e+03 eff:34.6% logz-ratio=149.50+/-0.05 dlogz:2.449>0.1]
674it [07:58,  1.70it/s, bound:0 nc:  7 ncall:2.0e+03 eff:34.5% logz-ratio=149.51+/-0.05 dlogz:2.441>0.1]
677it [07:59,  1.98it/s, bound:0 nc:  5 ncall:2.0e+03 eff:34.5% logz-ratio=149.51+/-0.05 dlogz:2.429>0.1]
680it [08:00,  2.27it/s, bound:0 nc:  3 ncall:2.0e+03 eff:34.6% logz-ratio=149.52+/-0.05 dlogz:2.418>0.1]
682it [08:01,  2.19it/s, bound:0 nc:  5 ncall:2.0e+03 eff:34.5% logz-ratio=149.52+/-0.05 dlogz:2.410>0.1]
685it [08:01,  2.45it/s, bound:0 nc:  7 ncall:2.0e+03 eff:34.5% logz-ratio=149.53+/-0.05 dlogz:2.398>0.1]
687it [08:04,  1.46it/s, bound:0 nc: 17 ncall:2.0e+03 eff:34.3% logz-ratio=149.54+/-0.05 dlogz:2.390>0.1]
691it [08:05,  1.85it/s, bound:0 nc:  5 ncall:2.0e+03 eff:34.3% logz-ratio=149.55+/-0.05 dlogz:2.375>0.1]
694it [08:06,  2.16it/s, bound:0 nc:  6 ncall:2.0e+03 eff:34.3% logz-ratio=149.55+/-0.05 dlogz:2.363>0.1]
696it [08:07,  2.17it/s, bound:0 nc:  3 ncall:2.0e+03 eff:34.3% logz-ratio=149.56+/-0.05 dlogz:2.355>0.1]
699it [08:08,  2.41it/s, bound:0 nc:  3 ncall:2.0e+03 eff:34.3% logz-ratio=149.56+/-0.05 dlogz:2.343>0.1]
703it [08:09,  2.72it/s, bound:0 nc:  1 ncall:2.0e+03 eff:34.4% logz-ratio=149.57+/-0.05 dlogz:2.328>0.1]
704it [08:10,  1.91it/s, bound:0 nc:  8 ncall:2.1e+03 eff:34.3% logz-ratio=149.58+/-0.05 dlogz:2.324>0.1]
707it [08:10,  2.17it/s, bound:0 nc:  5 ncall:2.1e+03 eff:34.2% logz-ratio=149.58+/-0.05 dlogz:2.312>0.1]
710it [08:11,  2.40it/s, bound:0 nc:  8 ncall:2.1e+03 eff:34.2% logz-ratio=149.59+/-0.05 dlogz:2.300>0.1]
711it [08:12,  1.73it/s, bound:0 nc:  7 ncall:2.1e+03 eff:34.1% logz-ratio=149.59+/-0.05 dlogz:2.296>0.1]
